Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,5699.200195,5703.899902,5670.200195,5679.299805,5679.299805,0
2015-08-04,5679.299805,5727.700195,5659.399902,5697.899902,5697.899902,0
2015-08-05,5697.899902,5700.600098,5640.000000,5674.000000,5674.000000,0
2015-08-06,5674.000000,5674.000000,5588.399902,5610.100098,5610.100098,0
2015-08-07,5610.100098,5610.100098,5474.799805,5474.799805,5474.799805,0
2015-08-10,5474.799805,5513.000000,5458.200195,5509.200195,5509.200195,0
2015-08-11,5509.200195,5543.200195,5463.000000,5473.200195,5473.200195,0
2015-08-12,5473.200195,5480.500000,5364.700195,5382.100098,5382.100098,0
2015-08-13,5382.100098,5426.200195,5382.100098,5387.899902,5387.899902,0
2015-08-14,5387.899902,5401.899902,5351.500000,5356.500000,5356.500000,0
2015-08-17,5356.500000,5397.000000,5356.500000,5367.700195,5367.700195,0
2015-08-18,5367.700195,5387.799805,5303.100098,5303.100098,5303.100098,0
2015-08-19,5303.100098,5383.200195,5303.100098,5380.200195,5380.200195,0
2015-08-20,5380.200195,5380.200195,5276.200195,5288.600098,5288.600098,0
2015-08-21,5288.600098,5288.600098,5171.500000,5214.600098,5214.600098,0
2015-08-24,5214.600098,5214.600098,5001.299805,5001.299805,5001.299805,0
2015-08-25,5001.299805,5151.700195,4928.299805,5137.299805,5137.299805,0
2015-08-26,5137.299805,5179.200195,5051.399902,5172.799805,5172.799805,0
2015-08-27,5172.799805,5268.799805,5172.799805,5233.299805,5233.299805,0
2015-08-28,5233.299805,5305.000000,5228.600098,5263.600098,5263.600098,0
2015-08-31,5263.600098,5263.600098,5159.399902,5207.000000,5207.000000,0
2015-09-01,5207.000000,5214.000000,5091.000000,5096.399902,5096.399902,0
2015-09-02,5096.399902,5103.899902,5015.000000,5101.500000,5101.500000,0
2015-09-03,5101.500000,5175.299805,5027.799805,5027.799805,5027.799805,0
2015-09-04,5036.299805,5069.200195,4995.600098,5040.600098,5040.600098,760640100
2015-09-07,5040.600098,5046.299805,4973.399902,5030.399902,5030.399902,0
2015-09-08,5030.399902,5115.200195,5030.399902,5115.200195,5115.200195,0
2015-09-09,5115.200195,5221.100098,5115.200195,5221.100098,5221.100098,0
2015-09-10,5221.100098,5221.100098,5088.700195,5095.000000,5095.000000,0
2015-09-11,5095.000000,5116.100098,5053.700195,5071.100098,5071.100098,0
2015-09-14,5071.100098,5132.399902,5068.899902,5096.500000,5096.500000,0
2015-09-15,5096.500000,5103.500000,5017.799805,5018.399902,5018.399902,0
